sec	p0	p1	p2	mag
3735155991	567319.9369	8598171.4867	10000	3.97
3735177828	583643.5591	8610293.2564	0	3.88
3735204075	587944.4743	8595903.0958	10000	4.3
3735347280	570563.6804	8592634.0504	10000	4.6
3735432720	572720.6826	8587098.9867	10000	4.77
3735450668	570552.6044	8588210.4266	10000	4.31
3735470501	574915.0406	8595940.5938	10000	5.43
3735493026	575988.914	8591514.0429	10000	4.17
3735545208	574903.31	8591516.9471	10000	4.41
3735560886	577080.5601	8593722.9306	10000	6.05
3735577516	573820.6016	8592625.7202	10000	4.53
3735588238	574900.3717	8590411.0333	10000	4.29
3735609145	569464.4067	8587107.2216	10000	3.88
3735660763	572729.2552	8590416.7204	10000	4.49
3735675319	572746.3409	8597052.1655	10000	4.04
3735784731	579248.8449	8592611.0013	10000	4.72
3735901138	575979.9643	8588196.2928	10000	4.55
3735924841	574897.4311	8589305.1188	10000	4.12
3735925198	575982.9499	8589302.2104	10000	4.86
3735964884	571640.8872	8589313.5928	10000	5.15
3736025230	574906.2461	8592622.86	10000	5.37
3736025689	571632.4361	8585995.8628	10000	4.4
3736026255	573814.8124	8590413.8978	10000	4.77
3736086031	575988.914	8591514.0429	10000	4.16
3736121347	578153.9937	8589296.268	10000	4.31
3736154225	575985.9331	8590408.1271	10000	5.09
3736204667	573809.0143	8588202.072	10000	3.75
3736224549	574894.4883	8588199.2034	10000	4
3736255238	577059.3792	8585981.4986	10000	4.3
3736255997	577080.5601	8593722.9306	10000	4.59
3736282380	577080.5601	8593722.9306	10000	4.57
3736297435	572737.808	8593734.4466	10000	4.85
3736387065	568376.2943	8586003.9779	10000	4.15
3736388628	573817.7081	8591519.8094	10000	4.96
3736391760	573811.9145	8589307.9853	10000	5.37
3736402364	573817.7081	8591519.8094	10000	5.06
3736430961	572726.3998	8589310.81	10000	4.39
3736456359	574900.3717	8590411.0333	10000	5.27
3736468966	570538.7112	8582680.8783	10000	4.43
3736531948	569456.1991	8583789.4986	10000	4.26
3736592606	573797.3911	8583778.4106	10000	4.76
3736594309	577065.4425	8588193.3404	10000	4.86
3736677315	577065.4425	8588193.3404	10000	4.68
3736688965	578163.192	8592614.0286	10000	5
3736707154	581423.3463	8593710.7467	10000	5.26
3736770814	572712.0901	8583781.2456	10000	4.85
3736821240	577071.4965	8590405.179	10000	5.55
3736842141	578181.5246	8599249.5278	10000	4.06
3736842792	575997.8429	8594831.7856	10000	4.7
3736858893	578163.192	8592614.0286	10000	5.06
3736859274	579258.1494	8595928.7613	10000	4.59
3736869077	583601.2933	8595916.2619	10000	4.79
3736877507	582521.9494	8598131.2988	10000	4.44
3736890255	574903.31	8591516.9471	10000	4.21
3736890610	578163.192	8592614.0286	10000	5.11
3736917827	577068.4707	8589299.2601	10000	4.87
3736919000	580347.0711	8597031.6195	10000	4.28
3736954412	576009.7159	8599255.431	10000	4.16
3736955528	577095.6192	8599252.5002	10000	4.21
3736985048	578166.2533	8593719.9472	10000	5.47
3736985330	577086.5907	8595934.7609	10000	4.63
3736985475	576012.6784	8600361.3403	10000	4.5
3736985747	578160.1282	8591508.1093	10000	5.48
3736986271	580347.0711	8597031.6195	10000	4.88
3736986707	579258.1494	8595928.7613	10000	4.31
3736987247	578181.5246	8599249.5278	10000	4.74
3736987430	570599.4414	8607010.737	10000	4.04
3736988630	579261.2461	8597034.6796	10000	3.94
3736991602	578175.4232	8597037.698	10000	4.08
3736992018	578178.4751	8598143.6133	10000	4.17
3736992304	575976.9765	8587090.3745	10000	4.65
3736992505	572757.6873	8601475.7792	10000	4.64
3736992728	577092.612	8598146.5879	10000	4
3736993449	578160.1282	8591508.1093	10000	5.25
3736995390	577089.6026	8597040.6748	10000	4.83
3736996768	578181.5246	8599249.5278	10000	4.12
3736998876	575988.914	8591514.0429	10000	5.26
3736999717	581442.4282	8600346.2816	10000	4.23
3737003297	578160.1282	8591508.1093	10000	5.09
3737004195	578172.369	8595931.7819	10000	4.21
3737005053	578172.369	8595931.7819	10000	3.84
3737005917	578175.4232	8597037.698	10000	3.99
3737009041	578172.369	8595931.7819	10000	4.25
3737009590	579261.2461	8597034.6796	10000	4.16
3737009915	576009.7159	8599255.431	10000	4.06
3737029162	575994.8689	8593725.8722	10000	4.75
3737053080	577080.5601	8593722.9306	10000	4.25
3737069609	573814.8124	8590413.8978	10000	4.39
3737070165	578175.4232	8597037.698	10000	4.23
3737081748	575985.9331	8590408.1271	10000	4.76
3737086943	578160.1282	8591508.1093	10000	5.4
3737122226	571643.6999	8590419.5012	10000	4.64
3737122761	578166.2533	8593719.9472	10000	5.41
3737125658	578172.369	8595931.7819	10000	4.56
3737152652	575985.9331	8590408.1271	10000	4.86
3737155010	575982.9499	8589302.2104	10000	4.85
3737155697	578172.369	8595931.7819	10000	4.16
3737156635	579248.8449	8592611.0013	10000	4.75
3737157945	577068.4707	8589299.2601	10000	5.03
3737168019	578160.1282	8591508.1093	10000	5.31
3737169385	578163.192	8592614.0286	10000	4.61
3737186133	576003.784	8597043.61	10000	4.27
3737186886	577086.5907	8595934.7609	10000	4.56
3737188163	577086.5907	8595934.7609	10000	4.54
3737197485	578169.3123	8594825.865	10000	4.53
3737206916	574903.31	8591516.9471	10000	4.71
3737232208	577071.4965	8590405.179	10000	4.85
3737264689	578153.9937	8589296.268	10000	4.35
3737265804	579248.8449	8592611.0013	10000	4.99
3737299917	579261.2461	8597034.6796	10000	5.25
3737303610	577071.4965	8590405.179	10000	5.58
3737308824	579239.5188	8589293.234	10000	5.47
3737398981	578153.9937	8589296.268	10000	4.58
3737401361	577065.4425	8588193.3404	10000	5.07
3737439419	578153.9937	8589296.268	10000	5.25
3737439618	574920.8923	8598152.4123	10000	4.37
3737456235	578166.2533	8593719.9472	10000	4.49
3737475399	579245.7386	8591505.0797	10000	4.22
3737477037	577074.52	8591511.097	10000	4.51
3737491819	580347.0711	8597031.6195	10000	4.6
3737500247	581429.7168	8595922.595	10000	4.4
3737507113	578163.192	8592614.0286	10000	4.34
3737528710	577086.5907	8595934.7609	10000	4.2
3737538408	579248.8449	8592611.0013	10000	5.22
3737563297	580350.2078	8598137.5393	10000	4.65
3737579061	578169.3123	8594825.865	10000	4.13
3737581000	581423.3463	8593710.7467	10000	5.25
3737590286	575988.914	8591514.0429	10000	5
3737593698	577074.52	8591511.097	10000	4.29
3737597447	577083.5766	8594828.8461	10000	4.73
3737618612	573835.0355	8598155.262	10000	4.9
3737621005	577083.5766	8594828.8461	10000	5.31
