sec	lat	lon	z	mag
3345210427.94	15.838924	-61.620586	8536.377	2.62
3345210283.51	15.851628	-61.624882	6107.91	1.49
3345184726.58	15.841689	-61.561054	2043.457	1.32
3345003173.85	15.856258	-61.637208	2003.906	1.04
3345002340.64	15.854108	-61.644443	8415.039	1.8
3344955443.97	15.6795	-61.5115	12480	2.21
3344931774.26	15.837333	-61.600167	14560	2.56
3344912742.33	15.736052	-61.552793	2834.473	1.87
3344888752.23	15.836431	-61.62333	7481.689	1.93
3344869816.52	15.781153	-61.527248	14271.24	2.99
3344824885.16	15.834704	-61.587816	9140.137	1.86
3344802392.96	15.725	-61.496	8680	2.28
3344658511.46	15.7345	-61.490833	14010	2.03
3344524248.05	15.880507	-61.659219	65.918	1.49
3344510437.41	15.787	-61.542333	10450	1.86
3344476787.29	15.857086	-61.661603	1691.406	1.97
3344476604.19	15.855848	-61.651136	2647.217	2.16
3344473482.09	15.874535	-61.649605	2284.668	1.7
3344463271.02	15.866083	-61.615625	2614.258	2.31
3344455867.37	15.862559	-61.673618	3075.684	1.79
3344448612.4	15.87256	-61.617345	329.59	1.87
3344448152.39	15.870045	-61.656809	1713.867	2.33
3344447195.31	15.922833	-61.6625	14960	2.59
3344444725.71	15.900377	-61.600938	3849.609	1.95
3344444698.88	15.87179	-61.655266	2976.807	2.43
3344444605.05	15.869803	-61.645998	2010.498	2
3344443929.54	15.870048	-61.65269	4196.289	2.03
3344443338.81	15.864839	-61.612365	3131.104	2.29
3344443000.93	15.878667	-61.654333	3280	2.35
3344442735.2	15.851616	-61.645471	329.59	1.69
3344442481.51	15.83768	-61.617326	8767.09	2.32
3344442330.29	15.861577	-61.652341	3339.355	1.6
3344442182.01	15.853374	-61.621967	5372.314	2.1
3344442076.56	15.86981	-61.635703	2713.135	1.9
3344440542.36	15.869566	-61.626266	3734.863	1.88
3344440340.99	15.871795	-61.647716	8470.459	3.1
3344440307	15.898667	-61.656667	14010	2.68
3344440140.82	15.855856	-61.638096	7218.018	4.25
3344436172.91	15.895533	-61.602368	3322.266	2.09
3344435921.62	15.913333	-61.658833	14770	2.7
3344434871.43	15.878833	-61.658	2390	2.07
3344424089.01	15.9295	-61.666167	14840	2.41
3344423960.8	15.876783	-61.639139	1614.99	2.34
3344423415.21	15.871552	-61.638621	4394.043	1.99
3344422185.84	15.873287	-61.652521	2735.596	2.54
3344422067.79	15.88476	-61.631937	13875.732	3.19
3344414937.36	15.863078	-61.643763	5537.109	1.6
3344413957.91	15.897167	-61.6625	3010	1.31
3344411632.91	15.841188	-61.56826	1582.031	1.32
3344370153.05	15.823053	-61.588601	15292.969	1.94
3344352541.91	15.756229	-61.568404	10513.916	2.88
3344352396.97	15.754235	-61.571491	12030.029	2.61
3344248780.24	15.880667	-61.631	6560	1.99
3344247376.97	15.906677	-61.644307	7920.654	1.87
3344246694.3	15.909417	-61.644824	5580.566	1.69
3344234000.92	15.803304	-61.605299	11337.891	2.82
3344210699.5	15.811539	-61.571853	14666.748	2.41
3344145918.46	15.830957	-61.609259	10645.752	2.42
3344119585.7	15.8725	-61.635667	8040	2.46
3344058580.52	15.816667	-61.650167	20330	2.86
3344054183.09	15.863167	-61.6125	6480	2.1
3344034600.44	15.8965	-61.664167	3200	1.14
3344019998.44	15.883667	-61.6285	4790	1.75
3344011750.07	15.810784	-61.591923	14281.738	1.88
3344007370.56	15.848632	-61.637234	5844.238	1.89
3343885968.57	15.83818	-61.61561	2086.914	2.22
3343882582.1	15.8515	-61.610833	2760	2.27
3343882372.38	15.880167	-61.612333	790	2.46
3343880558.94	15.88	-61.606333	980	2.61
3343877169.41	15.899	-61.619667	380	1.5
3343877080.04	15.823909	-61.639164	14712.891	2.22
3343798324.22	15.726833	-61.503167	5040	1.71
3343790225.61	15.727667	-61.499167	5850	1.85
3343789787.42	15.722853	-61.492604	2010.498	1.76
3343738412.78	15.841662	-61.625563	9535.645	1.56
3343726700.55	15.818754	-61.599474	7953.613	1.86
3343657803.26	15.870333	-61.630167	8360	1.92
3343651803.64	15.845664	-61.592624	10349.121	1.56
3343602728.53	15.854112	-61.638953	9887.695	2.98
3343602211.51	15.846882	-61.64564	11568.604	3.18
3343543084.57	15.839644	-61.664678	3075.684	1.65
3343542568.91	15.853667	-61.658667	5000	1.74
3343523864.24	15.829715	-61.601538	7558.105	2.04
3343516603.23	15.8645	-61.579833	2880	1.51
3343366508.95	15.832703	-61.607029	7162.598	1.66
3343365557.27	15.812671	-61.612897	14449.219	2.02
3343317152.41	15.860345	-61.630207	9436.768	1.29
3343313731.38	15.577065	-61.618211	14633.789	2.6
3343277691.89	15.748833	-61.531333	8780	1.7
3343275803.24	15.838676	-61.619385	7558.105	1.6
3343239147.18	15.80853	-61.617824	9107.178	1.38
3343108942.84	15.815167	-61.6315	18080	2.47
3343094888.96	15.813253	-61.636868	18984.375	2.71
3343094425.79	15.8925	-61.576333	13660	2.47
3343094369.03	15.806784	-61.621426	3098.145	1.91
3343093430.55	15.845667	-61.613833	2660	1.94
3343000080.41	15.880019	-61.644461	4723.633	1.14
3342970654.74	15.8307	-61.62487	10062.988	1.81
3342958067.56	15.842918	-61.605147	9129.639	1.9
3342932984.77	15.846833	-61.626	6480	2
3342920678.22	15.822222	-61.63756	7624.023	1.87
3342920150.39	15.825981	-61.59416	7722.9	1.95
3342911910.29	15.862074	-61.65543	6569.336	2.06
3342911085.37	15.871049	-61.646514	3537.109	1.8
3342906539.8	15.766953	-61.491745	2043.457	2.05
3342887860.25	15.778593	-61.53876	20724.609	2.1
3342882849.52	15.819754	-61.590554	11140.137	2.23
3342841022.63	15.774833	-61.562333	13490	2
