sec	p0	p1	p2	mag
3345210427.94	647715.5545	1751603.5647	8536.377	2.62
3345210283.51	647246.2258	1753006.1178	6107.91	1.49
3345184726.58	654089.6093	1751952.3022	2043.457	1.32
3345003173.85	645922.827	1753509.763	2003.906	1.04
3345002340.64	645149.5431	1753266.8652	8415.039	1.8
3344955443.97	659523.7664	1734044.0801	12480	2.21
3344931774.26	649903.6821	1751442.0145	14560	2.56
3344912742.33	655054.7445	1740270.4409	2834.473	1.87
3344888752.23	647423.4718	1751325.8093	7481.689	1.93
3344869816.52	657757.3229	1745279.4875	14271.24	2.99
3344824885.16	651228.4969	1751159.9989	9140.137	1.86
3344802392.96	661149.4674	1739090.1174	8680	2.28
3344658511.46	661695.6995	1740145.1885	14010	2.03
3344524248.05	643548.4277	1756177.4503	65.918	1.49
3344510437.41	656136.6788	1745915.174	10450	1.86
3344476787.29	643309.7033	1753584.5426	1691.406	1.97
3344476604.19	644431.5218	1753454.7551	2647.217	2.16
3344473482.09	644582.158	1755523.3282	2284.668	1.7
3344463271.02	648227.0587	1754611.9505	2614.258	2.31
3344455867.37	642019.1604	1754181.8891	3075.684	1.79
3344448612.4	648038.1355	1755327.354	329.59	1.87
3344448152.39	643813.9148	1755021.5975	1713.867	2.33
3344447195.31	643167.1414	1760858.1181	14960	2.59
3344444725.71	649774.5219	1758416.7355	3849.609	1.95
3344444698.88	643977.9086	1755215.723	2976.807	2.43
3344444605.05	644971.793	1755002.2757	2010.498	2
3344443929.54	644254.9988	1755024.762	4196.289	2.03
3344443338.81	648577.0816	1754476.6226	3131.104	2.29
3344443000.93	644072.9296	1755977.2309	3280	2.35
3344442735.2	645041.2309	1752990.4404	329.59	1.69
3344442481.51	648065.6187	1751468.2256	8767.09	2.32
3344442330.29	644298.3995	1754087.7772	3339.355	1.6
3344442182.01	647557.1431	1753201.3449	5372.314	2.1
3344442076.56	646074.2422	1755010.2028	2713.135	1.9
3344440542.36	647084.9969	1754989.8108	3734.863	1.88
3344440340.99	644786.3962	1755221.4812	8470.459	3.1
3344440307	643808.7964	1758188.4121	14010	2.68
3344440140.82	645828.0167	1753464.6679	7218.018	4.25
3344436172.91	649624.9913	1757879.7639	3322.266	2.09
3344435921.62	643566.4704	1759809.5609	14770	2.7
3344434871.43	643680.1455	1755993.0767	2390	2.07
3344424089.01	642769.849	1761593.2392	14840	2.41
3344423960.8	645701.2802	1755779.3012	1614.99	2.34
3344423415.21	645760.5112	1755200.9046	4394.043	1.99
3344422185.84	644270.791	1755383.2391	2735.596	2.54
3344422067.79	646466.7235	1756666.9034	13875.732	3.19
3344414937.36	645215.9467	1754259.7726	5537.109	1.6
3344413957.91	643185.3162	1758018.4501	3010	1.31
3344411632.91	653318.1946	1751891.5912	1582.031	1.32
