sec	p0	p1	p2	mag
3660758692.68	989904.6412	6386692.2844	11000	0.7
3660756121.24	994849.2066	6411720.9315	4000	3.4
3660751008.39	996961.1704	6392249.3298	13000	1.4
3660406931.74	959228.1344	6399468.186	5000	0.3
3660273371.83	1005832.857	6373324.4122	2000	0.5
3660260425.45	992127.0747	6381680.0191	12000	0.6
3660182101.07	961298.4385	6405001.8308	16000	0.2
3660157376.84	959659.2106	6387145.5494	0	0.6
3660155091.03	960693.7571	6392858.5564	2000	0.3
3660154481.48	957054.1054	6402157.7606	13000	1.1
3660154167.92	967041.0277	6396794.9571	4000	1.5
3660153277.17	962113.0847	6400700.1442	5000	0.8
3660039931.01	1002956.0375	6401433.214	6000	2.1
3659903314.52	990147.9502	6386592.3383	12000	0.4
3659823323.92	998467.6926	6383980.2608	11000	1.5
3659796395.1	989182.3727	6385102.0967	12000	0.7
3659790176.88	994697.3883	6391363.9772	15000	1.1
3659763691.88	995865.4882	6405319.4259	8000	1.2
3659722829.09	998573.7098	6385097.4122	0	1.2
3659694453.46	987778.4235	6384481.5007	5000	0.7
3659689092.07	993485.2435	6390083.8282	14000	0.9
3659668344.64	987896.5014	6385376.5308	5000	0.5
3659634380.68	990578.0061	6387613.0818	13000	1
3659628750.16	959214.3606	6392130.0955	5000	0.4
3659581239.18	997860.0768	6391735.9784	14000	1.4
3659578567.56	996008.6337	6390536.1545	13000	1.2
3659548213.11	999140.1694	6386570.1465	12000	1.1
3659512043.48	991704.9726	6378769.014	6000	0.9
3659377069.15	988104.9581	6410182.9889	9000	0.2
3659373680.65	996501.0019	6391893.9114	14000	1.2
3659349631.76	992368.6976	6379911.9672	7000	0.9
3659334275.83	1002606.6187	6387292.5812	11000	1.3
3659284631.35	990876.8375	6377729.7245	2000	0.8
3659238683.37	990475.8022	6386385.1151	12000	0.5
3659195699.87	989404.8164	6378551.3357	5000	0.7
3659155046.99	995187.1346	6397836.8588	8000	0.9
3658740907.24	995809.0612	6382964.6324	10000	1.1
3658732692.7	997289.2929	6393710.5764	12000	1.3
3658727467.29	991228.5066	6387309.6628	14000	0.8
3658717352.34	989930.299	6386137.4588	11000	0.9
3658689892.72	995845.6909	6382187.8973	12000	1.2
3658683123.59	993685.5426	6389203.5786	10000	1.5
3658645630.26	993973.8214	6379653.3262	9000	0.8
3658634704.06	989797.1464	6385575.2899	12000	1.1
3658631488.38	997657.6359	6384275.3922	12000	1.1
3658623846.4	998181.9289	6384967.5596	12000	1.3
3658597311.46	994718.2683	6390920.1407	14000	1
3658593940.05	996850.2937	6392911.3098	15000	1
3658568060.94	992489.9681	6389258.8639	13000	0.9
3658559298.02	992193.2279	6388800.2068	13000	0.8
