,sec,p0,p1,p2,mag
0,3735155991,-1.3631006700307085,-5.9834567704285195,10000,3.97
1,3735177828,-1.3630987748868297,-5.983455996009267,0,3.88
2,3735204075,-1.3630981632222758,-5.983456718971025,10000,4.3
3,3735347280,-1.363100240559264,-5.983457034908155,10000,4.6
4,3735432720,-1.363099943164729,-5.983457308619833,10000,4.77
5,3735450668,-1.3631002119618807,-5.983457268134948,10000,4.31
6,3735470501,-1.3630997374073284,-5.983456824347738,10000,5.43
7,3735493026,-1.363099578434827,-5.983457048703824,10000,4.17
8,3735545208,-1.3630997094359227,-5.983457057569976,10000,4.41
9,3735560886,-1.363099461248965,-5.983456923224708,10000,6.05
10,3735577516,-1.3630998474641016,-5.983457008144639,10000,4.53
11,3735588238,-1.36309970244831,-5.983457115885739,10000,4.29
12,3735609145,-1.3631003356394493,-5.983457335393946,10000,3.88
13,3735660763,-1.3630999643590287,-5.983457133664746,10000,4.49
14,3735675319,-1.3631000068051722,-5.983456783864696,10000,4.04
15,3735784731,-1.3630991922384714,-5.983456963887082,10000,4.72
16,3735901138,-1.3630995576003546,-5.9834572236716195,10000,4.55
17,3735924841,-1.363099695462795,-5.983457174205585,10000,4.12
18,3735925198,-1.3630995645430977,-5.983457165344942,10000,4.86
19,3735964884,-1.3631000882017597,-5.983457200891889,10000,5.15
20,3736025230,-1.3630997164256218,-5.983456999258297,10000,5.37
21,3736025689,-1.3631000668918898,-5.983457375850843,10000,4.4
22,3736026255,-1.3630998334053526,-5.983457124766547,10000,4.77
23,3736086031,-1.363099578434827,-5.983457048703824,10000,4.16
24,3736121347,-1.3630993026937779,-5.9834571476758915,10000,4.31
25,3736154225,-1.3630995714879255,-5.983457107022347,10000,5.09
26,3736204667,-1.3630998193550425,-5.983457241404726,10000,3.75
27,3736224549,-1.3630996884793631,-5.983457232529452,10000,4.0
28,3736255238,-1.363099412920016,-5.983457331502182,10000,4.3
29,3736255997,-1.363099461248965,-5.983456923224708,10000,4.59
30,3736282380,-1.363099461248965,-5.983456923224708,10000,4.57
31,3736297435,-1.3630999855724888,-5.9834569587463635,10000,4.85
32,3736387065,-1.3631004592344924,-5.98345740266881,10000,4.15
33,3736388628,-1.3630998404336725,-5.98345706645357,10000,4.96
34,3736391760,-1.3630998263791392,-5.983457183083607,10000,5.37
35,3736402364,-1.3630998404336725,-5.98345706645357,10000,5.06
36,3736430961,-1.3630999572921432,-5.983457191979033,10000,4.39
37,3736456359,-1.36309970244831,-5.983457115885739,10000,5.27
38,3736468966,-1.363100176263796,-5.983457559760032,10000,4.43
39,3736531948,-1.3631003140987707,-5.983457510360661,10000,4.26
40,3736592606,-1.363099791279724,-5.983457474729912,10000,4.76
41,3736594309,-1.3630994267180176,-5.983457214831141,10000,4.86
42,3736677315,-1.3630994267180176,-5.983457214831141,10000,4.68
43,3736688965,-1.363099323290207,-5.983456972703769,10000,5.0
44,3736707154,-1.363098936872505,-5.9834568879818075,10000,5.26
45,3736770814,-1.363099921989555,-5.983457483611522,10000,4.85
46,3736821240,-1.3630994405242298,-5.983457098176359,10000,5.55
47,3736842141,-1.3630993645382674,-5.983456622869509,10000,4.06
48,3736842792,-1.3630995992880008,-5.983456873772693,10000,4.7
49,3736858893,-1.363099323290207,-5.983456972703769,10000,5.06
50,3736859274,-1.3630992127309713,-5.983456788943279,10000,4.59
51,3736869077,-1.3630986880022156,-5.983456753817704,10000,4.79
52,3736877507,-1.3630988326161442,-5.983456645947589,10000,4.44
53,3736890255,-1.3630997094359227,-5.983457057569976,10000,4.21
54,3736890610,-1.363099323290207,-5.983456972703769,10000,5.11
55,3736917827,-1.3630994336200923,-5.983457156501714,10000,4.87
56,3736919000,-1.3630990883477312,-5.983456721826553,10000,4.28
57,3736954412,-1.363099627121387,-5.983456640588342,10000,4.16
58,3736955528,-1.3630994958314835,-5.983456631720217,10000,4.21
59,3736985048,-1.3630993301597742,-5.983456914387855,10000,5.47
60,3736985330,-1.36309947507578,-5.983456806610637,10000,4.63
61,3736985475,-1.3630996340849524,-5.983456582302502,10000,4.5
62,3736985747,-1.3630993164227003,-5.983457031023718,10000,5.48
63,3736986271,-1.3630990883477312,-5.983456721826553,10000,4.88
64,3736986707,-1.3630992127309713,-5.983456788943279,10000,4.31
65,3736987247,-1.3630993645382674,-5.983456622869509,10000,4.74
66,3736987430,-1.3631003337410479,-5.983456277372877,10000,4.04
67,3736988630,-1.3630992195658593,-5.98345673063688,10000,3.94
68,3736991602,-1.3630993507807216,-5.983456739464598,10000,4.08
69,3736992018,-1.363099357658467,-5.983456681165006,10000,4.17
70,3736992304,-1.3630995506596726,-5.983457282002344,10000,4.65
71,3736992505,-1.3631000351453806,-5.983456550746373,10000,4.64
72,3736992728,-1.363099488910851,-5.98345669001294,10000,4.0
73,3736993449,-1.3630993164227003,-5.983457031023718,10000,5.25
74,3736995390,-1.3630994819922715,-5.983456748309746,10000,4.83
75,3736996768,-1.3630993645382674,-5.983456622869509,10000,4.12
76,3736998876,-1.363099578434827,-5.983457048703824,10000,5.26
77,3736999717,-1.3630989773981341,-5.983456538122281,10000,4.23
78,3737003297,-1.3630993164227003,-5.983457031023718,10000,5.09
79,3737004195,-1.3630993439050185,-5.983456797768249,10000,4.21
80,3737005053,-1.3630993439050185,-5.983456797768249,10000,3.84
81,3737005917,-1.3630993507807216,-5.983456739464598,10000,3.99
82,3737009041,-1.3630993439050185,-5.983456797768249,10000,4.25
83,3737009590,-1.3630992195658593,-5.98345673063688,10000,4.16
84,3737009915,-1.363099627121387,-5.983456640588342,10000,4.06
85,3737029162,-1.363099592334863,-5.98345693207899,10000,4.75
